DateKey,Date,Day,Month,Year
20050101,1/1/2005,Saturday,January,2005
20050102,1/2/2005,Sunday,January,2005
20050103,1/3/2005,Monday,January,2005
20050104,1/4/2005,Tuesday,January,2005
20050105,1/5/2005,Wednesday,January,2005
20050106,1/6/2005,Thursday,January,2005
20050107,1/7/2005,Friday,January,2005
20050108,1/8/2005,Saturday,January,2005
20050109,1/9/2005,Sunday,January,2005
20050110,1/10/2005,Monday,January,2005
20050111,1/11/2005,Tuesday,January,2005
20050112,1/12/2005,Wednesday,January,2005
20050113,1/13/2005,Thursday,January,2005
20050114,1/14/2005,Friday,January,2005
20050115,1/15/2005,Saturday,January,2005
20050116,1/16/2005,Sunday,January,2005
20050117,1/17/2005,Monday,January,2005
20050118,1/18/2005,Tuesday,January,2005
20050119,1/19/2005,Wednesday,January,2005
20050120,1/20/2005,Thursday,January,2005
20050121,1/21/2005,Friday,January,2005
20050122,1/22/2005,Saturday,January,2005
20050123,1/23/2005,Sunday,January,2005
20050124,1/24/2005,Monday,January,2005
20050125,1/25/2005,Tuesday,January,2005
20050126,1/26/2005,Wednesday,January,2005
20050127,1/27/2005,Thursday,January,2005
20050128,1/28/2005,Friday,January,2005
20050129,1/29/2005,Saturday,January,2005
20050130,1/30/2005,Sunday,January,2005
20050131,1/31/2005,Monday,January,2005
20050201,2/1/2005,Tuesday,February,2005
20050202,2/2/2005,Wednesday,February,2005
20050203,2/3/2005,Thursday,February,2005
20050204,2/4/2005,Friday,February,2005
20050205,2/5/2005,Saturday,February,2005
20050206,2/6/2005,Sunday,February,2005
20050207,2/7/2005,Monday,February,2005
20050208,2/8/2005,Tuesday,February,2005
20050209,2/9/2005,Wednesday,February,2005
20050210,2/10/2005,Thursday,February,2005
20050211,2/11/2005,Friday,February,2005
20050212,2/12/2005,Saturday,February,2005
20050213,2/13/2005,Sunday,February,2005
20050214,2/14/2005,Monday,February,2005
20050215,2/15/2005,Tuesday,February,2005
20050216,2/16/2005,Wednesday,February,2005
20050217,2/17/2005,Thursday,February,2005
20050218,2/18/2005,Friday,February,2005
20050219,2/19/2005,Saturday,February,2005
20050220,2/20/2005,Sunday,February,2005
20050221,2/21/2005,Monday,February,2005
20050222,2/22/2005,Tuesday,February,2005
20050223,2/23/2005,Wednesday,February,2005
20050224,2/24/2005,Thursday,February,2005
20050225,2/25/2005,Friday,February,2005
20050226,2/26/2005,Saturday,February,2005
20050227,2/27/2005,Sunday,February,2005
20050228,2/28/2005,Monday,February,2005
20050301,3/1/2005,Tuesday,March,2005
20050302,3/2/2005,Wednesday,March,2005
20050303,3/3/2005,Thursday,March,2005
20050304,3/4/2005,Friday,March,2005
20050305,3/5/2005,Saturday,March,2005
20050306,3/6/2005,Sunday,March,2005
20050307,3/7/2005,Monday,March,2005
20050308,3/8/2005,Tuesday,March,2005
20050309,3/9/2005,Wednesday,March,2005
20050310,3/10/2005,Thursday,March,2005
20050311,3/11/2005,Friday,March,2005
20050312,3/12/2005,Saturday,March,2005
20050313,3/13/2005,Sunday,March,2005
20050314,3/14/2005,Monday,March,2005
20050315,3/15/2005,Tuesday,March,2005
20050316,3/16/2005,Wednesday,March,2005
20050317,3/17/2005,Thursday,March,2005
20050318,3/18/2005,Friday,March,2005
20050319,3/19/2005,Saturday,March,2005
20050320,3/20/2005,Sunday,March,2005
20050321,3/21/2005,Monday,March,2005
20050322,3/22/2005,Tuesday,March,2005
20050323,3/23/2005,Wednesday,March,2005
20050324,3/24/2005,Thursday,March,2005
20050325,3/25/2005,Friday,March,2005
20050326,3/26/2005,Saturday,March,2005
20050327,3/27/2005,Sunday,March,2005
