ProductKey,OrderDateKey,CustomerKey,SalesTerritoryKey,OrderQuantity,ProductStandardCost,SalesAmount,OrderDate
310,20191229,21768,6,1,2171.2942,3578.27,12/29/2019
346,20191229,28389,7,1,1912.1544,3399.99,12/29/2019
346,20191229,25863,1,1,1912.1544,3399.99,12/29/2019
336,20191229,14501,4,1,413.1463,699.0982,12/29/2019
346,20191229,11003,9,1,1912.1544,3399.99,12/29/2019
311,20191230,27645,4,1,2171.2942,3578.27,12/30/2019
310,20191230,16624,9,1,2171.2942,3578.27,12/30/2019
351,20191230,11005,9,1,1898.0944,3374.99,12/30/2019
344,20191230,11011,9,1,1912.1544,3399.99,12/30/2019
312,20191231,27621,4,1,2171.2942,3578.27,12/31/2019
312,20191231,27616,4,1,2171.2942,3578.27,12/31/2019
330,20191231,20042,10,1,413.1463,699.0982,12/31/2019
313,20191231,16351,9,1,2171.2942,3578.27,12/31/2019
314,20191231,16517,9,1,2171.2942,3578.27,12/31/2019
314,20200101,27606,1,1,2171.2942,3578.27,1/1/2020
311,20200101,13513,8,1,2171.2942,3578.27,1/1/2020
310,20200102,27601,4,1,2171.2942,3578.27,1/2/2020
311,20200102,13591,10,1,2171.2942,3578.27,1/2/2020
314,20200102,16483,9,1,2171.2942,3578.27,1/2/2020
311,20200102,16529,9,1,2171.2942,3578.27,1/2/2020
336,20200102,25249,9,1,413.1463,699.0982,1/2/2020
311,20200103,27668,1,1,2171.2942,3578.27,1/3/2020
312,20200103,27612,4,1,2171.2942,3578.27,1/3/2020
311,20200103,13264,8,1,2171.2942,3578.27,1/3/2020
310,20200103,13590,10,1,2171.2942,3578.27,1/3/2020
312,20200104,13581,10,1,2171.2942,3578.27,1/4/2020
332,20200104,14520,1,1,413.1463,699.0982,1/4/2020
311,20200104,16520,9,1,2171.2942,3578.27,1/4/2020
311,20200105,13258,8,1,2171.2942,3578.27,1/5/2020
332,20200105,14560,4,1,413.1463,699.0982,1/5/2020
311,20200105,16607,9,1,2171.2942,3578.27,1/5/2020
313,20200106,27666,4,1,2171.2942,3578.27,1/6/2020
346,20200106,11238,10,1,1912.1544,3399.99,1/6/2020
346,20200106,25861,4,1,1912.1544,3399.99,1/6/2020
314,20200106,16629,9,1,2171.2942,3578.27,1/6/2020
350,20200106,11025,9,1,1898.0944,3374.99,1/6/2020
312,20200106,27577,1,1,2171.2942,3578.27,1/6/2020
312,20200107,27604,1,1,2171.2942,3578.27,1/7/2020
310,20200107,16522,9,1,2171.2942,3578.27,1/7/2020
346,20200107,11002,9,1,1912.1544,3399.99,1/7/2020
311,20200108,13261,8,1,2171.2942,3578.27,1/8/2020
312,20200108,11606,7,1,2171.2942,3578.27,1/8/2020
310,20200108,13563,10,1,2171.2942,3578.27,1/8/2020
312,20200108,16527,9,1,2171.2942,3578.27,1/8/2020
310,20200109,27671,1,1,2171.2942,3578.27,1/9/2020
314,20200109,13576,10,1,2171.2942,3578.27,1/9/2020
347,20200109,11007,9,1,1912.1544,3399.99,1/9/2020
313,20200109,16631,9,1,2171.2942,3578.27,1/9/2020
311,20200110,16514,9,1,2171.2942,3578.27,1/10/2020
312,20200110,16616,9,1,2171.2942,3578.27,1/10/2020
314,20200111,27623,4,1,2171.2942,3578.27,1/11/2020
313,20200111,27625,1,1,2171.2942,3578.27,1/11/2020
314,20200111,27636,1,1,2171.2942,3578.27,1/11/2020
311,20200111,11591,7,1,2171.2942,3578.27,1/11/2020
313,20200111,11592,7,1,2171.2942,3578.27,1/11/2020
311,20200111,13265,8,1,2171.2942,3578.27,1/11/2020
310,20200111,16482,9,1,2171.2942,3578.27,1/11/2020
